City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kapaa,US,82.4,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
4,Faanui,PF,80.29,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
5,Victoria,HK,75.0,overcast clouds,22.29,114.16,Mini Hotel Central
9,Puerto Escondido,MX,78.8,moderate rain,15.85,-97.07,Aldea del Bazar Hotel and Spa
12,Sibu,MY,78.8,scattered clouds,2.3,111.82,RH HOTEL (4 Star)
13,Butaritari,KI,82.04,broken clouds,3.07,172.79,Isles Sunset Lodge
14,Laguna,US,77.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
21,Luis Correia,BR,80.33,scattered clouds,-2.88,-41.67,Hotel Amarração
25,Samarai,PG,81.72,light rain,-10.62,150.67,Nuli Sapi
26,Rikitea,PF,75.45,overcast clouds,-23.12,-134.97,Pension Maro'i
27,Umm Kaddadah,SD,81.55,clear sky,13.6,26.69,
29,Port Moresby,PG,86.0,haze,-9.44,147.18,Lamana Hotel
35,Hilo,US,80.6,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
41,Conde,BR,77.0,scattered clouds,-7.26,-34.91,Pousada Beija Flor
45,Semporna,MY,80.6,few clouds,4.48,118.61,"Han Palace Hotel, Semporna, Sabah."
52,Ixtapa,MX,84.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
57,Makakilo City,US,84.2,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
60,Meulaboh,ID,77.9,overcast clouds,4.14,96.13,Kost Pria
62,The Valley,AI,84.2,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
67,Arraial Do Cabo,BR,75.11,light rain,-22.97,-42.03,Pousada Porto Praia
73,Busselton,AU,78.01,clear sky,-33.65,115.33,Observatory Guest House
74,Veraval,IN,77.22,clear sky,20.9,70.37,Lords Inn Somnath
78,Hithadhoo,MV,82.98,broken clouds,-0.6,73.08,Scoop Guest House
84,Dakar,SN,82.4,clear sky,14.69,-17.44,Novotel Dakar
94,Avarua,CK,77.0,overcast clouds,-21.21,-159.78,Paradise Inn
100,Poum,NC,77.54,overcast clouds,-20.23,164.02,Gîte kajeon
101,Alofi,NU,77.0,light intensity drizzle,-19.06,-169.92,Taloa Heights
113,Sorong,ID,83.34,broken clouds,-0.88,131.25,The Waigo Hotel
116,Atuona,PF,78.12,overcast clouds,-9.8,-139.03,Villa Enata
126,Bathsheba,BB,77.0,shower rain,13.22,-59.52,Atlantis Hotel
134,Lorengau,PG,84.49,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
136,Kavieng,PG,80.85,moderate rain,-2.57,150.8,Nusa Island Retreat
144,Pedregal,PA,80.01,light rain,8.37,-82.43,Kibutz de Rita
156,Manzanillo,CU,77.7,heavy intensity rain,20.34,-77.12,Adrian & Tonia
157,Cockburn Town,TC,82.49,few clouds,21.46,-71.14,Osprey Beach Hotel
158,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
159,Sabang,ID,82.31,broken clouds,5.89,95.32,Hotel Citra
160,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
161,Thinadhoo,MV,82.83,few clouds,0.53,72.93,
164,Areia Branca,BR,77.61,clear sky,-4.96,-37.14,Areia Branca Apart Hotel
171,Celestun,MX,79.63,light rain,20.87,-90.4,Posada Lilia
172,Chauk,MM,78.37,light rain,20.88,94.82,Bo Khin Guest House
178,Kahului,US,86.0,scattered clouds,20.89,-156.47,Maui Seaside Hotel
183,Tecoanapa,MX,80.55,light rain,16.52,-98.75,Hotel Manglares
185,Vanimo,PG,77.02,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
190,Wagar,SD,75.97,clear sky,16.15,36.2,
195,Miramar,US,82.4,clear sky,25.99,-80.23,Stadium Hotel
199,Vila Velha,BR,80.6,moderate rain,-20.33,-40.29,Hotel Vitória Palace
202,Palmas,BR,82.4,light rain,-10.21,-48.36,Hotel Lago da Palma
203,Dingle,PH,82.11,very heavy rain,11.0,122.67,Camp Pasica
205,Nouna,BF,75.72,few clouds,12.73,-3.87,Hôtel Chez Rose-Marie
206,Belmonte,BR,75.2,shower rain,-15.86,-38.88,Pousada Monte Carmelo O Pão
210,Itarema,BR,78.08,broken clouds,-2.92,-39.92,Windvillage
212,Tual,ID,83.05,clear sky,-5.67,132.75,Grand Vilia Hotel
215,Floriano,BR,86.05,overcast clouds,-6.77,-43.02,Hotel Maktub
222,Alyangula,AU,87.8,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
232,Port-Gentil,GA,77.74,overcast clouds,-0.72,8.78,Fengshui Residence
235,Boa Vista,BR,87.8,moderate rain,2.82,-60.67,Aipana Plaza Hotel
243,Caravelas,BR,76.44,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
245,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
246,Anton Lizardo,MX,75.99,scattered clouds,19.05,-95.98,Hotel CocoAventura
253,Kavaratti,IN,82.71,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
256,Martapura,ID,84.11,overcast clouds,-3.42,114.85,Montana Hotel Syariah
259,Sena Madureira,BR,75.51,light rain,-9.07,-68.66,Hotel Suzani
264,Naze,JP,75.2,broken clouds,28.37,129.48,奄美ポートタワーホテル
