City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Mount Gambier,2020-10-30 01:16:21,-37.83,140.77,59.0,72,90,11.41,AU,overcast clouds
1,Castro,2020-10-30 01:15:25,-24.79,-50.01,60.08,96,100,7.0,BR,light rain
2,Kapaa,2020-10-30 01:15:30,22.08,-159.32,82.4,58,1,12.75,US,clear sky
3,Punta Arenas,2020-10-30 01:15:06,-53.15,-70.92,46.4,70,75,8.05,CL,broken clouds
4,Faanui,2020-10-30 01:15:57,-16.48,-151.75,80.29,78,0,10.04,PF,light rain
5,Victoria,2020-10-30 01:14:16,22.29,114.16,75.0,80,96,1.01,HK,overcast clouds
6,Jiwani,2020-10-30 01:16:37,25.05,61.74,73.2,25,0,14.18,PK,clear sky
7,Dukat,2020-10-30 01:16:00,62.55,155.55,13.19,94,100,1.63,RU,overcast clouds
8,Port Elizabeth,2020-10-30 01:15:55,-33.92,25.57,55.4,82,0,11.41,ZA,clear sky
9,Puerto Escondido,2020-10-30 01:16:13,15.85,-97.07,78.8,74,90,5.82,MX,moderate rain
10,Andenes,2020-10-30 01:16:38,69.31,16.12,37.0,64,100,17.22,NO,overcast clouds
11,Khatanga,2020-10-30 01:15:40,71.97,102.5,2.19,85,0,12.8,RU,clear sky
12,Sibu,2020-10-30 01:16:38,2.3,111.82,78.8,88,40,2.24,MY,scattered clouds
13,Butaritari,2020-10-30 01:15:00,3.07,172.79,82.04,75,79,12.84,KI,broken clouds
14,Laguna,2020-10-30 01:16:38,38.42,-121.42,77.0,37,1,2.28,US,clear sky
15,Valenza,2020-10-30 01:16:38,45.01,8.64,48.99,91,100,1.72,IT,overcast clouds
16,Dikson,2020-10-30 01:15:23,73.51,80.55,8.85,93,100,25.52,RU,overcast clouds
17,Neuquen,2020-10-30 01:15:31,-38.95,-68.06,64.4,45,0,12.1,AR,clear sky
18,Port Alfred,2020-10-30 01:15:00,-33.59,26.89,60.67,70,100,16.6,ZA,overcast clouds
19,Dunedin,2020-10-30 01:15:00,-45.87,170.5,57.99,84,100,5.99,NZ,overcast clouds
20,Codrington,2020-10-30 01:15:09,-38.27,141.97,59.14,76,0,11.18,AU,clear sky
21,Luis Correia,2020-10-30 01:16:39,-2.88,-41.67,80.33,69,46,17.96,BR,scattered clouds
22,Albany,2020-10-30 01:12:10,42.6,-73.97,42.01,89,100,9.75,US,light rain
23,Palmer,2020-10-30 01:16:07,42.16,-72.33,43.0,100,90,12.75,US,light rain
24,Ribeira Grande,2020-10-30 01:15:08,38.52,-28.7,67.71,87,100,9.24,PT,overcast clouds
25,Samarai,2020-10-30 01:16:39,-10.62,150.67,81.72,77,31,9.19,PG,light rain
26,Rikitea,2020-10-30 01:15:05,-23.12,-134.97,75.45,74,100,7.65,PF,overcast clouds
27,Umm Kaddadah,2020-10-30 01:16:40,13.6,26.69,81.55,22,0,15.59,SD,clear sky
28,Burnie,2020-10-30 01:15:34,-41.07,145.92,61.0,63,20,10.0,AU,few clouds
29,Port Moresby,2020-10-30 01:14:56,-9.44,147.18,86.0,66,40,11.41,PG,haze
30,Krasnoye-Na-Volge,2020-10-30 01:16:40,57.51,41.24,35.6,80,75,6.71,RU,broken clouds
31,Port Hardy,2020-10-30 01:16:12,50.7,-127.42,53.76,81,100,13.8,CA,overcast clouds
32,Port Hedland,2020-10-30 01:15:39,-20.32,118.57,91.4,36,0,11.41,AU,clear sky
33,East London,2020-10-30 01:15:44,-33.02,27.91,62.33,74,100,17.78,ZA,light rain
34,Bethel,2020-10-30 01:15:08,41.37,-73.41,44.6,93,90,10.29,US,mist
35,Hilo,2020-10-30 01:11:00,19.73,-155.09,80.6,78,90,6.93,US,moderate rain
36,Westport,2020-10-30 01:15:30,41.14,-73.36,46.4,93,90,19.46,US,light rain
37,Beckley,2020-10-30 01:16:41,37.78,-81.19,59.0,100,90,3.36,US,fog
38,Mataura,2020-10-30 01:15:23,-46.19,168.86,62.01,89,100,1.45,NZ,overcast clouds
39,Carnarvon,2020-10-30 01:11:05,-24.87,113.63,73.4,83,90,12.75,AU,overcast clouds
40,Ushuaia,2020-10-30 01:12:02,-54.8,-68.3,44.6,70,40,24.16,AR,scattered clouds
41,Conde,2020-10-30 01:16:41,-7.26,-34.91,77.0,83,40,6.93,BR,scattered clouds
42,Fukue,2020-10-30 01:16:19,32.69,128.84,66.2,63,75,11.41,JP,broken clouds
43,Skjervoy,2020-10-30 01:15:17,70.03,20.97,37.72,76,94,21.79,NO,overcast clouds
44,Henties Bay,2020-10-30 01:15:42,-22.12,14.28,55.0,90,8,1.01,NA,clear sky
45,Semporna,2020-10-30 01:16:41,4.48,118.61,80.6,88,20,2.24,MY,few clouds
46,Kamaishi,2020-10-30 01:14:16,39.27,141.88,46.4,81,75,5.82,JP,broken clouds
47,Bam,2020-10-30 01:16:41,29.11,58.36,55.87,36,0,5.68,IR,clear sky
48,Deputatskiy,2020-10-30 01:16:42,69.3,139.9,2.89,95,100,1.1,RU,overcast clouds
49,Portland,2020-10-30 01:15:21,45.52,-122.68,57.99,76,1,4.7,US,clear sky
50,Hobart,2020-10-30 01:15:03,-42.88,147.33,66.99,67,20,12.75,AU,few clouds
51,Kodinsk,2020-10-30 01:16:42,58.69,99.18,20.75,95,100,5.57,RU,light snow
52,Ixtapa,2020-10-30 01:16:42,20.7,-105.2,84.2,66,5,8.05,MX,clear sky
53,Yellowknife,2020-10-30 01:11:32,62.46,-114.35,17.01,94,61,4.61,CA,broken clouds
54,Grand Gaube,2020-10-30 01:16:05,-20.01,57.66,68.0,69,0,10.0,MU,clear sky
55,Talara,2020-10-30 01:16:42,-4.58,-81.27,64.35,90,100,15.97,PE,overcast clouds
56,Nanortalik,2020-10-30 01:15:57,60.14,-45.24,30.02,94,100,12.77,GL,overcast clouds
57,Makakilo City,2020-10-30 01:16:12,21.35,-158.09,84.2,58,90,11.41,US,overcast clouds
58,Hasaki,2020-10-30 01:15:52,35.73,140.83,59.0,58,75,8.05,JP,light rain
59,College,2020-10-30 01:15:50,64.86,-147.8,17.6,72,90,5.82,US,light snow
60,Meulaboh,2020-10-30 01:15:45,4.14,96.13,77.9,78,93,3.6,ID,overcast clouds
61,Toktogul,2020-10-30 01:16:43,41.87,72.94,39.18,59,0,2.42,KG,clear sky
62,The Valley,2020-10-30 01:16:43,18.22,-63.06,84.2,74,40,12.75,AI,scattered clouds
63,Gavle,2020-10-30 01:16:43,60.67,17.14,44.01,90,83,1.99,SE,broken clouds
64,Barrow,2020-10-30 01:15:03,71.29,-156.79,21.2,85,75,6.93,US,snow
65,Lata,2020-10-30 01:16:15,40.16,-8.33,60.01,89,0,3.13,PT,clear sky
66,Puerto Ayora,2020-10-30 01:15:01,-0.74,-90.35,69.01,92,100,5.01,EC,overcast clouds
67,Arraial Do Cabo,2020-10-30 01:15:00,-22.97,-42.03,75.11,94,100,2.37,BR,light rain
68,Tosya,2020-10-30 01:16:43,41.02,34.04,51.22,68,0,3.11,TR,clear sky
69,Provideniya,2020-10-30 01:15:11,64.38,-173.3,26.6,63,0,2.24,RU,clear sky
70,Mount Isa,2020-10-30 01:13:10,-20.73,139.5,93.2,6,0,6.93,AU,clear sky
71,Bluff,2020-10-30 01:15:15,-46.6,168.33,62.01,89,100,5.91,NZ,light rain
72,Richards Bay,2020-10-30 01:16:44,-28.78,32.04,72.55,72,100,8.57,ZA,overcast clouds
73,Busselton,2020-10-30 01:16:44,-33.65,115.33,78.01,30,0,8.46,AU,clear sky
74,Veraval,2020-10-30 01:15:21,20.9,70.37,77.22,63,0,8.72,IN,clear sky
75,Lagoa,2020-10-30 01:15:29,39.05,-27.98,67.46,89,100,9.84,PT,overcast clouds
76,Abha,2020-10-30 01:16:44,18.22,42.51,55.4,35,0,4.7,SA,clear sky
77,Huron,2020-10-30 01:16:44,41.15,-82.55,48.99,94,100,12.71,US,light rain
78,Hithadhoo,2020-10-30 01:15:06,-0.6,73.08,82.98,76,71,10.94,MV,broken clouds
79,Talnakh,2020-10-30 01:15:34,69.49,88.4,3.56,87,48,8.41,RU,scattered clouds
80,Manono,2020-10-30 01:16:44,-7.3,27.42,69.13,94,100,3.67,CD,overcast clouds
81,Hami,2020-10-30 01:15:59,42.8,93.45,42.51,57,13,12.8,CN,few clouds
82,Pangnirtung,2020-10-30 01:15:19,66.15,-65.71,6.75,84,73,4.0,CA,broken clouds
83,Chapais,2020-10-30 01:15:17,49.78,-74.85,13.19,97,0,5.01,CA,clear sky
84,Dakar,2020-10-30 01:16:45,14.69,-17.44,82.4,78,0,6.93,SN,clear sky
85,Cervo,2020-10-30 01:16:45,43.67,-7.41,54.0,90,0,5.39,ES,clear sky
86,Thompson,2020-10-30 01:15:12,55.74,-97.86,24.57,98,89,6.53,CA,overcast clouds
87,Teya,2020-10-30 01:15:20,60.38,92.63,9.7,92,100,3.47,RU,light snow
88,Coquimbo,2020-10-30 01:14:03,-29.95,-71.34,55.4,87,0,6.93,CL,clear sky
89,Torbay,2020-10-30 01:15:25,47.67,-52.73,41.0,84,100,4.0,CA,overcast clouds
90,Groningen,2020-10-30 01:16:45,53.25,6.75,55.99,93,75,16.11,NL,broken clouds
91,Kruisfontein,2020-10-30 01:15:32,-34.0,24.73,55.0,84,1,11.5,ZA,clear sky
92,Inuvik,2020-10-30 01:15:36,68.35,-133.72,5.81,95,79,3.29,CA,broken clouds
93,Te Anau,2020-10-30 01:15:53,-45.42,167.72,57.51,92,100,2.98,NZ,light rain
94,Avarua,2020-10-30 01:15:01,-21.21,-159.78,77.0,69,100,8.05,CK,overcast clouds
95,Port Lincoln,2020-10-30 01:16:46,-34.73,135.87,58.75,68,42,20.47,AU,scattered clouds
96,Harnosand,2020-10-30 01:16:46,62.63,17.94,37.4,93,0,5.82,SE,clear sky
97,San Jose,2020-10-30 01:14:48,37.34,-121.89,73.0,29,0,1.99,US,clear sky
98,Hermanus,2020-10-30 01:15:15,-34.42,19.23,46.0,87,46,3.51,ZA,scattered clouds
99,Nikolskoye,2020-10-30 01:15:07,59.7,30.79,50.0,93,90,2.51,RU,light intensity shower rain
100,Poum,2020-10-30 01:16:46,-20.23,164.02,77.54,70,100,12.84,NC,overcast clouds
101,Alofi,2020-10-30 01:16:01,-19.06,-169.92,77.0,61,75,18.34,NU,light intensity drizzle
102,Usinsk,2020-10-30 01:16:46,65.99,57.53,37.04,95,100,17.34,RU,overcast clouds
103,Bambous Virieux,2020-10-30 01:15:18,-20.34,57.76,69.01,67,4,8.99,MU,clear sky
104,Mayo,2020-10-30 01:15:43,38.89,-76.51,53.6,100,90,10.29,US,overcast clouds
105,Bredasdorp,2020-10-30 01:15:25,-34.53,20.04,51.8,62,12,5.82,ZA,few clouds
106,Palaikastron,2020-10-30 01:16:47,35.2,26.25,64.99,73,0,5.01,GR,clear sky
107,Jamestown,2020-10-30 01:10:13,42.1,-79.24,44.01,93,90,5.82,US,overcast clouds
108,Baffa,2020-10-30 01:16:47,34.44,73.22,54.46,35,0,6.08,PK,clear sky
109,Tessalit,2020-10-30 01:15:39,20.2,1.01,74.41,19,0,6.33,ML,clear sky
110,San Luis,2020-10-30 01:13:47,-33.3,-66.34,57.88,35,90,19.48,AR,overcast clouds
111,Shimoda,2020-10-30 01:16:47,34.67,138.95,62.6,55,40,17.22,JP,scattered clouds
112,Barra Do Garcas,2020-10-30 01:16:47,-15.89,-52.26,74.12,85,100,4.16,BR,light rain
113,Sorong,2020-10-30 01:15:51,-0.88,131.25,83.34,73,59,10.51,ID,broken clouds
114,Goksun,2020-10-30 01:16:47,38.02,36.5,55.4,66,0,3.36,TR,clear sky
